,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,season,team
4,2023-09-17,16:30,Matchweek 5,Sun,Away,W,1.0,0.0,Everton,1.0,0.3,74.0,39217.0,Martin Ødegaard,4-3-3,Simon Hooper,Match Report,,1,13,4,30.8,0.08,0.25,17.4,0,0,0,1.0,0.08,0.0,0.0,1,1,100.0,1,0.1,0.1,0,0,0,5,7,71.4,35,7,17.1,26.3,5,20.0,28.6,4,2,50.0,3,17.7,2023-2024,Arsenal
5,2023-09-24,14:00,Matchweek 6,Sun,Home,D,2.0,2.0,Tottenham,1.8,1.4,47.0,60156.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,,1,12,4,33.3,0.0,0.0,16.9,0,1,1,1.2,0.1,-0.8,-1.2,5,3,60.0,0,2.6,0.6,0,0,0,6,15,40.0,35,7,42.9,35.0,2,0.0,13.5,8,0,0.0,4,27.2,2023-2024,Arsenal
6,2023-09-30,15:00,Matchweek 7,Sat,Away,W,4.0,0.0,Bournemouth,3.4,0.6,57.0,11193.0,Martin Ødegaard,4-3-3,Michael Salisbury,Match Report,,4,13,6,46.2,0.15,0.33,15.5,0,2,2,1.9,0.14,0.6,0.1,1,1,100.0,1,0.2,0.2,0,0,0,5,10,50.0,51,3,15.7,23.0,7,28.6,26.0,12,3,25.0,1,15.3,2023-2024,Arsenal
7,2023-10-08,16:30,Matchweek 8,Sun,Home,W,1.0,0.0,Manchester City,0.4,0.5,49.0,60233.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,1,12,2,16.7,0.08,0.5,19.2,0,0,0,0.4,0.03,0.6,0.6,0,0,,1,0.0,0.0,0,0,0,10,22,45.5,45,5,42.2,35.2,7,42.9,31.1,9,1,11.1,0,3.5,2023-2024,Arsenal
8,2023-10-21,17:30,Matchweek 9,Sat,Away,D,2.0,2.0,Chelsea,1.0,1.3,56.0,39723.0,Martin Ødegaard,4-3-3,Chris Kavanagh,Match Report,,2,13,3,23.1,0.15,0.67,14.3,0,0,0,1.0,0.08,1.0,1.0,5,3,80.0,0,1.9,-0.1,1,0,0,4,13,30.8,49,10,22.4,29.3,6,33.3,24.8,7,1,14.3,4,23.6,2023-2024,Arsenal
9,2023-10-28,15:00,Matchweek 10,Sat,Home,W,5.0,0.0,Sheffield Utd,2.8,0.0,67.0,60153.0,Bukayo Saka,4-3-3,Tim Robinson,Match Report,,5,12,6,50.0,0.33,0.67,17.0,0,1,1,2.0,0.17,2.2,2.0,0,0,,1,0.0,0.0,0,0,0,4,7,57.1,23,2,26.1,28.4,3,33.3,30.0,5,3,60.0,1,12.8,2023-2024,Arsenal
10,2023-11-04,17:30,Matchweek 11,Sat,Away,L,0.0,1.0,Newcastle Utd,0.6,1.0,58.0,52194.0,Jorginho,4-3-3,Stuart Attwell,Match Report,,0,14,1,7.1,0.0,0.0,20.7,0,0,0,0.6,0.04,-0.6,-0.6,1,0,0.0,0,0.9,-0.1,0,0,0,5,14,35.7,27,4,37.0,36.1,6,66.7,49.3,7,0,0.0,1,14.3,2023-2024,Arsenal
11,2023-11-11,15:00,Matchweek 12,Sat,Home,W,3.0,1.0,Burnley,1.8,0.3,63.0,60232.0,Jorginho,4-3-3,Michael Oliver,Match Report,,3,16,6,37.5,0.19,0.5,13.8,0,0,0,1.8,0.12,1.2,1.2,5,4,80.0,0,1.1,0.1,0,0,0,3,10,30.0,22,6,36.4,32.1,4,50.0,48.5,7,0,0.0,1,23.0,2023-2024,Arsenal
12,2023-11-25,17:30,Matchweek 13,Sat,Away,W,1.0,0.0,Brentford,1.6,1.1,64.0,17201.0,Martin Ødegaard,4-3-3,Tim Robinson,Match Report,,1,15,4,26.7,0.07,0.25,15.2,0,0,0,1.6,0.11,-0.6,-0.6,1,1,100.0,1,0.1,0.1,0,0,0,4,18,22.2,29,4,44.8,37.6,7,71.4,44.9,7,1,14.3,4,21.7,2023-2024,Arsenal
13,2023-12-02,15:00,Matchweek 14,Sat,Home,W,2.0,1.0,Wolves,2.8,0.7,57.0,60262.0,Martin Ødegaard,4-3-3,Peter Bankes,Match Report,,2,19,6,31.6,0.11,0.33,15.6,0,0,0,2.8,0.15,-0.8,-0.8,3,2,66.7,0,0.9,-0.1,0,0,0,2,9,22.2,24,6,33.3,32.0,5,20.0,23.8,7,1,14.3,0,12.0,2023-2024,Arsenal
14,2023-12-05,20:15,Matchweek 15,Tue,Away,W,4.0,3.0,Luton Town,2.2,0.5,66.0,11031.0,Martin Ødegaard,4-3-3,Samuel Barrott,Match Report,,4,23,9,39.1,0.17,0.44,15.5,0,0,0,2.2,0.1,1.8,1.8,4,1,25.0,0,0.9,-2.1,0,0,0,8,16,50.0,26,2,42.3,32.5,5,100.0,65.2,9,2,22.2,2,17.0,2023-2024,Arsenal
15,2023-12-09,17:30,Matchweek 16,Sat,Away,L,0.0,1.0,Aston Villa,1.4,0.6,61.0,42000.0,Martin Ødegaard,4-3-3,Jarred Gillett,Match Report,,0,12,3,25.0,0.0,0.0,14.8,1,0,0,1.4,0.12,-1.4,-1.4,3,2,66.7,0,0.4,-0.6,0,0,0,1,5,20.0,22,9,22.7,26.8,4,0.0,10.8,7,1,14.3,3,31.5,2023-2024,Arsenal
